EnsemblID	ct_24h_1	ct_24h_2	ct_24h_3	c100_24h_1	c100_24h_2	c100_24h_3	p100_24h_1	p100_24h_2	p100_24h_3
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	5	7	6	7	4	6	10	14	9
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	2	0	0	0	0
ENSMUSG00000100764	7	0	6	3	4	3	9	4	2
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	8	0	4	0	1	3	0	2
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	4	2	0	10	5	6	6	6	9
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	104	93	90	116	96	96	92	128	76
ENSMUSG00000051285	4347	5007	4979	3695	3302	4403	3646	4805	6193
ENSMUSG00000098201	0	0	2	0	0	0	0	0	0
ENSMUSG00000103509	48	51	56	31	62	45	52	60	80
ENSMUSG00000048538	10	10	2	14	6	8	10	8	2
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	4	0	0	6	2	2	3	1	0
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	6	0	0	2	2	2	2	2	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	8	0	2	4	0
ENSMUSG00000039748	130	128	78	331	247	194	171	223	172
ENSMUSG00000118715	0	2	0	4	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	1006	1144	999	1862	1373	1613	1079	1635	1857
ENSMUSG00000047216	0	0	0	0	0	0	4	0	0
ENSMUSG00000102788	0	0	0	0	0	0	0	0	2
ENSMUSG00000102160	0	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	8	8	10	10	16	12	6	16	10
ENSMUSG00000100701	34	50	26	50	48	42	38	26	28
ENSMUSG00000100555	10	0	8	4	4	0	8	8	2
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	672	686	634	612	510	642	550	682	928
ENSMUSG00000101875	12	14	16	10	18	22	16	24	22
ENSMUSG00000099732	0	2	0	0	0	0	6	2	2
ENSMUSG00000101220	0	0	0	2	0	4	2	0	0
ENSMUSG00000100020	0	0	2	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0
ENSMUSG00000055214	0	0	0	0	0	0	0	0	0
ENSMUSG00000078184	10	14	22	24	22	4	18	24	20
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	0	0	0	0	0	0	0	0	0
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	2	2	0	2	4
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	2	0	0	0	0	0	0	0
ENSMUSG00000084353	2	2	2	0	2	0	4	6	4
ENSMUSG00000103933	70	93	100	75	80	85	100	137	89
ENSMUSG00002075967	35	50	62	53	37	51	50	43	29
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	4	2	6	8	6	4	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	4	4	2	4	0	2	6	6	6
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	718	704	638	1752	1232	1290	1052	1264	1386
ENSMUSG00000102030	1	2	0	2	6	2	16	2	6
ENSMUSG00000025911	19	22	2	80	108	45	40	42	33
ENSMUSG00000081441	4	2	2	6	0	12	6	4	8
ENSMUSG00000067879	0	0	0	1	2	0	0	0	0
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	5841	6583	6642	5823	4896	5977	5546	6949	8745
ENSMUSG00000103634	2	3	2	0	0	0	2	0	0
ENSMUSG00000104154	0	6	0	2	4	6	4	8	2
ENSMUSG00000103435	1	4	2	0	0	4	0	2	2
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	10	16	17	26	25	32	4	15	17
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	124	168	118	190	165	117	116	152	135
ENSMUSG00000045210	5754	6516	6765	5174	4244	5407	5230	6374	8666
ENSMUSG00000041763	4853	5473	5484	6083	4690	5226	5056	6023	7637
ENSMUSG00000026504	1496	1849	1744	1917	1639	2049	1861	2301	3103
ENSMUSG00000103367	0	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	6	2	4	4	0	4
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0
ENSMUSG00000102475	0	0	0	0	0	2	0	0	0
