EnsemblID	ct_4h_1	ct_4h_2	ct_4h_3	c100_4h_1	c100_4h_2	c100_4h_3	p100_4h_1	p100_4h_2	p100_4h_3	c10_4h_1	c10_4h_2	c10_4h_3	p10_4h_1	p10_4h_2	p10_4h_3
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	17	4	6	13	8	10	24	4	5	23	5	8	30	2	4
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	2	2	0	0	0	0	0	4	0	0	0	2
ENSMUSG00000100764	8	3	2	8	3	4	10	0	2	2	1	1	13	0	3
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	6	2	2	8	0	7	0	2	3	2	1	0	2	1
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	13	2	2	23	8	1	13	3	7	6	2	12	25	0	8
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	300	182	190	414	228	222	308	178	158	362	218	196	530	158	169
ENSMUSG00000051285	7651	4502	4707	7213	3385	3856	6462	3192	4819	7294	4512	5512	8395	3844	5516
ENSMUSG00000098201	0	0	1	3	0	2	0	0	2	5	0	2	2	2	4
ENSMUSG00000103509	138	64	63	176	98	51	45	68	62	173	66	95	219	74	82
ENSMUSG00000048538	30	28	16	38	40	38	36	10	32	26	22	12	39	32	16
ENSMUSG00000103709	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	13	0	0	8	0	4	10	2	2	15	0	4	17	4	0
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
